budget_encoded,company_size_encoded,deadline_encoded,service_website,service_ecommerce,service_mobile_app,service_branding,service_seo,contact_email,contact_whatsapp,contact_phone,contact_social_media,hour_of_day,day_of_week,month_of_year,is_business_hours,message_length,avg_word_length,sentence_count,exclamation_count,question_count,has_budget_mentioned,has_deadline_mentioned,has_phone_mentioned,has_company_mentioned,professionalism_score,sentiment_score,converted
0,0,0,False,False,False,False,True,True,False,False,False,18,5,1,0,14,3.642857142857143,2,0,1,0,0,0,0,0.14,0.70095,0
3,3,1,False,False,False,False,True,False,True,False,False,18,1,1,1,35,4.542857142857143,3,0,0,0,1,0,0,0.41428571428571426,0.5386,1
0,2,1,False,True,False,False,False,False,True,False,False,18,2,3,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
1,2,0,False,False,True,False,False,False,False,True,False,18,1,2,1,6,4.333333333333333,2,0,1,0,0,0,0,0.06,0.5,0
2,2,1,True,False,False,False,False,True,False,False,False,18,4,5,1,37,5.864864864864865,3,0,1,1,0,0,0,0.3810810810810811,0.2767,1
0,0,0,False,False,False,False,True,True,False,False,False,18,0,2,1,19,5.2631578947368425,2,0,1,0,0,0,0,0.19,0.5,0
0,0,0,True,False,False,False,False,False,True,False,False,18,4,6,1,10,4.7,2,0,1,0,0,0,0,0.1,0.5,0
0,0,0,False,False,False,True,False,True,False,False,False,18,1,3,1,16,4.375,2,0,1,0,0,0,0,0.16,0.6366,0
1,2,2,True,False,False,False,False,False,False,False,True,18,1,1,1,11,5.090909090909091,2,0,1,0,0,0,0,0.11,0.5,1
2,2,2,False,False,False,True,False,True,False,False,False,18,0,1,1,21,5.190476190476191,2,0,1,0,0,0,0,0.21,0.6591,0
3,2,1,True,False,False,False,False,False,True,False,False,18,5,1,0,48,5.0625,4,0,1,1,1,0,0,0.3625,0.2767,1
0,0,0,True,False,False,False,False,False,False,False,True,18,1,9,1,14,4.5,2,0,1,0,0,0,0,0.14,0.5,0
0,0,1,False,False,True,False,False,False,True,False,False,18,2,7,1,15,5.666666666666667,2,0,1,0,0,0,0,0.21666666666666667,0.6909,0
3,2,2,True,False,False,False,False,False,True,False,False,18,4,2,1,15,4.6,2,0,1,0,0,0,0,0.15,0.5,1
2,2,0,False,False,True,False,False,False,False,True,False,18,0,7,1,15,5.0,3,0,1,0,0,0,0,0.15,0.5,1
0,3,2,True,False,False,False,False,False,False,False,True,18,4,2,1,18,5.777777777777778,2,0,1,0,0,0,0,0.18,0.5,0
0,0,1,False,False,True,False,False,False,True,False,False,18,5,4,0,5,5.2,1,0,0,0,0,0,0,0.25,0.70095,0
2,2,2,False,False,True,False,False,False,False,True,False,18,5,3,0,29,5.206896551724138,2,0,1,1,0,0,0,0.4279310344827586,0.19815,1
2,0,1,False,False,True,False,False,True,False,False,False,18,1,4,1,41,4.853658536585366,4,0,1,1,1,0,0,0.3975609756097561,0.2958,0
2,2,0,False,True,False,False,False,False,False,False,True,18,5,4,0,16,4.375,2,0,1,0,0,0,0,0.16,0.648,0
1,1,1,False,True,False,False,False,True,False,False,False,18,4,6,1,4,6.25,1,0,0,0,0,0,0,0.04,0.5,0
0,0,0,True,False,False,False,False,True,False,False,False,18,3,2,1,31,4.645161290322581,3,0,1,0,0,0,0,0.3,0.45715,0
2,3,2,True,False,False,False,False,False,False,True,False,18,3,8,1,42,4.309523809523809,3,0,1,0,0,0,0,0.32380952380952377,0.5,1
0,2,0,False,False,False,False,True,False,True,False,False,18,0,9,1,4,5.0,1,0,0,0,0,0,0,0.04,0.5,0
2,3,2,False,False,True,False,False,False,True,False,False,18,3,12,1,32,5.71875,3,0,0,1,0,0,0,0.33125,0.8825000000000001,1
1,3,2,False,False,False,False,True,False,True,False,False,18,0,3,1,37,4.783783783783784,3,0,1,0,0,0,0,0.35405405405405405,0.5,1
0,2,0,False,False,False,False,True,True,False,False,False,18,2,4,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
0,0,0,False,True,False,False,False,False,True,False,False,18,1,6,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
2,1,1,False,True,False,False,False,False,True,False,False,18,3,12,1,19,5.2105263157894735,2,0,1,0,0,0,0,0.19,0.5,0
0,0,0,False,True,False,False,False,True,False,False,False,18,5,1,0,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
2,2,1,False,False,False,False,True,True,False,False,False,18,0,5,1,31,5.354838709677419,3,0,1,0,0,0,0,0.36451612903225805,0.5,1
1,1,2,True,False,False,False,False,False,False,True,False,18,3,12,1,21,4.809523809523809,3,0,1,0,0,0,0,0.21,0.77495,1
2,1,2,False,False,False,False,True,True,False,False,False,18,3,3,1,20,4.65,2,0,0,0,0,0,0,0.2,0.70095,0
0,1,0,False,False,False,True,False,False,True,False,False,18,0,9,1,6,4.333333333333333,2,0,1,0,0,0,0,0.06,0.5,0
1,0,0,False,False,True,False,False,True,False,False,False,18,3,7,1,8,4.25,2,0,1,0,0,0,0,0.08,0.5,0
0,0,1,False,False,False,True,False,True,False,False,False,18,0,2,1,17,5.764705882352941,3,0,1,0,0,0,0,0.17,0.5,0
1,1,0,False,False,False,False,True,False,True,False,False,18,5,6,0,18,5.444444444444445,3,0,1,0,0,0,0,0.18,0.79295,0
2,1,1,False,False,False,False,True,False,True,False,False,18,2,8,1,19,4.842105263157895,2,0,1,0,0,0,0,0.24263157894736842,0.5,0
1,0,1,False,False,False,True,False,False,True,False,False,18,2,5,1,33,4.666666666666667,3,0,1,1,1,0,0,0.3909090909090909,0.2958,0
0,0,1,False,True,False,False,False,False,True,False,False,18,2,7,1,11,3.909090909090909,2,0,1,0,0,0,0,0.11,0.5,0
3,2,2,False,False,True,False,False,False,False,True,False,18,4,4,1,18,4.333333333333333,3,0,1,1,0,0,0,0.23555555555555555,0.5,1
0,0,0,False,True,False,False,False,False,True,False,False,18,2,10,1,4,6.75,1,0,0,0,0,0,0,0.29,0.6591,0
2,3,2,False,True,False,False,False,False,False,True,False,18,2,12,1,12,4.75,2,0,1,0,0,0,0,0.12,0.5,1
0,0,1,False,False,False,True,False,False,True,False,False,18,5,9,0,5,5.8,2,1,0,0,0,0,0,0.05,0.75465,0
3,3,1,True,False,False,False,False,True,False,False,False,18,0,5,1,4,5.0,1,0,0,0,0,0,0,0.04,0.5,1
0,3,2,False,False,True,False,False,False,True,False,False,18,4,3,1,37,5.243243243243243,3,0,0,0,0,0,0,0.327027027027027,0.7553000000000001,1
3,2,1,False,False,False,True,False,False,False,False,True,18,0,9,1,16,5.0625,3,0,1,0,0,0,0,0.2225,0.5,0
2,1,1,False,False,False,False,True,False,True,False,False,18,6,1,0,18,5.0,2,0,0,0,0,0,0,0.18,0.5,0
0,0,0,False,False,True,False,False,False,True,False,False,18,2,11,1,7,4.142857142857143,2,0,0,0,0,0,0,0.07,0.5,0
2,3,1,False,False,False,True,False,False,False,True,False,18,4,2,1,30,6.366666666666666,3,0,0,0,0,0,0,0.3333333333333333,0.83525,1
0,1,0,False,False,False,False,True,False,True,False,False,18,0,7,1,9,4.222222222222222,2,0,1,0,0,0,0,0.09,0.5,0
1,1,1,False,False,True,False,False,False,True,False,False,18,6,6,0,18,5.555555555555555,2,0,1,0,0,0,0,0.23555555555555555,0.7627999999999999,0
1,1,2,False,False,False,False,True,False,False,True,False,18,3,1,1,15,5.533333333333333,2,0,1,0,0,0,0,0.15,0.5,1
2,1,1,False,False,True,False,False,False,False,False,True,18,0,7,1,19,5.368421052631579,3,0,1,0,0,0,0,0.19,0.5,0
2,2,0,False,True,False,False,False,False,True,False,False,18,3,5,1,35,5.9714285714285715,3,0,0,0,0,0,0,0.3,0.9063,1
1,1,2,False,False,False,True,False,True,False,False,False,18,4,4,1,11,3.6363636363636362,2,0,1,0,0,0,0,0.11,0.44865,0
1,1,2,True,False,False,False,False,False,False,True,False,18,2,4,1,4,6.75,1,0,0,0,0,0,0,0.29,0.6591,0
0,1,0,False,False,False,False,True,False,True,False,False,18,3,4,1,4,6.25,1,0,0,0,0,0,0,0.04,0.5,0
1,1,1,False,True,False,False,False,True,False,False,False,18,2,12,1,4,6.75,1,0,0,0,0,0,0,0.29,0.6591,0
2,2,2,False,False,False,True,False,True,False,False,False,18,4,9,1,34,5.205882352941177,3,0,0,0,1,0,0,0.41764705882352937,0.5258,1
0,1,0,False,True,False,False,False,False,True,False,False,18,0,12,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
1,0,0,False,False,True,False,False,False,True,False,False,18,0,1,1,4,6.25,1,0,0,0,0,0,0,0.04,0.5,0
2,1,1,False,True,False,False,False,False,True,False,False,18,6,8,0,33,5.787878787878788,3,0,1,0,1,0,0,0.3606060606060606,0.70095,0
0,2,1,False,False,False,False,True,False,True,False,False,18,2,1,1,19,4.947368421052632,2,0,1,0,0,0,0,0.24263157894736842,0.8243,0
0,0,1,False,False,False,True,False,True,False,False,False,18,4,4,1,21,5.238095238095238,2,0,1,0,0,0,0,0.21,0.648,0
0,0,1,False,False,False,True,False,False,True,False,False,18,4,2,1,7,4.857142857142857,3,2,0,0,0,0,0,0.21285714285714286,0.5,0
1,0,1,False,True,False,False,False,False,True,False,False,18,1,8,1,15,4.666666666666667,2,0,1,0,0,0,0,0.15,0.5,0
0,2,0,False,True,False,False,False,False,True,False,False,18,4,4,1,18,5.166666666666667,3,0,1,0,0,0,0,0.23555555555555555,0.5,0
3,3,2,False,False,False,True,False,True,False,False,False,18,2,8,1,21,4.761904761904762,3,0,1,0,0,0,0,0.25761904761904764,0.5,1
1,1,1,False,False,False,False,True,True,False,False,False,18,6,8,0,38,5.078947368421052,4,0,1,1,1,0,0,0.3789473684210526,0.41935,0
0,1,0,False,False,True,False,False,False,True,False,False,18,6,3,0,40,5.4,3,0,0,0,0,0,0,0.3,0.86345,0
1,1,1,False,True,False,False,False,False,True,False,False,18,0,10,1,16,4.9375,2,0,1,0,0,0,0,0.2225,0.5,0
0,0,0,False,True,False,False,False,False,False,False,True,18,5,1,0,11,3.272727272727273,2,0,1,0,1,0,0,0.11,0.5,0
2,1,0,False,False,False,True,False,False,True,False,False,18,2,4,1,18,4.388888888888889,2,0,1,0,0,0,0,0.18,0.648,0
0,2,0,False,False,False,True,False,False,True,False,False,18,4,5,1,10,4.6,2,0,1,0,0,0,0,0.1,0.5,0
1,1,0,False,True,False,False,False,False,True,False,False,18,0,3,1,4,5.75,2,0,1,0,0,0,0,0.04,0.5,0
1,0,0,True,False,False,False,False,False,True,False,False,18,0,4,1,12,4.666666666666667,2,0,1,0,0,0,0,0.12,0.5,0
0,1,1,False,True,False,False,False,False,True,False,False,18,2,5,1,22,4.909090909090909,3,0,1,0,0,0,0,0.22,0.6366,1
1,0,1,False,False,True,False,False,False,True,False,False,18,1,2,1,15,5.066666666666666,3,0,1,0,0,0,0,0.15,0.70095,0
0,1,0,False,False,False,True,False,False,True,False,False,18,1,11,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
0,1,1,False,False,True,False,False,False,True,False,False,18,2,4,1,15,4.466666666666667,2,0,1,0,0,0,0,0.21666666666666667,0.76335,0
1,1,1,False,False,False,True,False,True,False,False,False,18,4,10,1,17,4.647058823529412,3,0,1,0,0,0,0,0.2288235294117647,0.5,0
0,0,0,False,True,False,False,False,False,True,False,False,18,3,4,1,10,4.8,2,0,1,0,0,0,0,0.1,0.5,0
1,1,1,False,False,False,True,False,True,False,False,False,18,5,5,0,17,4.588235294117647,3,0,1,0,0,0,0,0.17,0.5,1
2,3,1,False,False,True,False,False,False,False,True,False,18,5,2,0,24,4.291666666666667,2,0,0,0,0,0,0,0.24,0.70095,0
2,0,0,False,False,False,False,True,False,False,True,False,18,3,4,1,4,5.75,2,0,1,0,0,0,0,0.04,0.5,0
2,2,1,False,False,True,False,False,False,False,True,False,18,2,2,1,35,4.914285714285715,4,0,1,0,1,0,0,0.35714285714285715,0.7202,1
2,3,0,False,False,False,True,False,True,False,False,False,18,1,2,1,28,5.071428571428571,3,0,0,0,0,0,0,0.3157142857142857,0.6591,1
2,3,2,False,True,False,False,False,True,False,False,False,18,6,3,0,20,6.05,3,0,1,0,0,0,0,0.2,0.5,1
2,2,1,False,False,True,False,False,False,False,True,False,18,3,10,1,15,4.733333333333333,2,0,1,0,0,0,0,0.15,0.5,0
2,3,2,False,False,True,False,False,False,True,False,False,18,3,11,1,23,4.695652173913044,3,0,1,0,0,0,0,0.23,0.81845,0
1,2,1,True,False,False,False,False,True,False,False,False,18,4,9,1,9,4.666666666666667,2,0,1,0,0,0,0,0.09,0.648,0
0,1,0,False,True,False,False,False,False,True,False,False,18,6,5,0,4,5.0,1,0,0,0,0,0,0,0.04,0.5,0
3,3,1,True,False,False,False,False,False,False,True,False,18,3,10,1,35,5.171428571428572,3,0,1,1,0,0,0,0.35714285714285715,0.19815,1
1,0,2,True,False,False,False,False,False,True,False,False,18,2,5,1,37,5.891891891891892,3,0,0,0,0,0,0,0.3,0.8243,0
1,0,0,False,False,False,False,True,True,False,False,False,18,5,5,0,12,4.75,2,0,1,0,0,0,0,0.12,0.7202,0
2,2,1,True,False,False,False,False,False,True,False,False,18,4,1,1,13,5.0,2,0,1,0,0,0,0,0.13,0.5,1
3,2,1,False,False,False,False,True,False,True,False,False,18,2,3,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,1
3,3,1,False,True,False,False,False,False,False,True,False,18,6,10,0,34,5.382352941176471,3,0,0,1,0,0,0,0.32941176470588235,0.83525,1
1,2,1,False,False,True,False,False,False,True,False,False,18,6,2,0,35,3.3714285714285714,3,0,1,0,0,0,0,0.3,0.5386,0
1,3,2,False,False,False,False,True,False,False,True,False,18,0,6,1,19,4.315789473684211,3,0,1,0,0,0,0,0.19,0.70095,1
1,0,0,True,False,False,False,False,False,True,False,False,18,0,2,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
1,1,2,False,False,True,False,False,True,False,False,False,18,1,10,1,13,4.846153846153846,2,0,1,0,0,0,0,0.13,0.5,0
2,1,0,True,False,False,False,False,False,True,False,False,18,0,7,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
0,0,1,True,False,False,False,False,False,True,False,False,18,5,10,0,15,4.2,2,0,1,0,0,0,0,0.15,0.5,0
0,1,1,False,False,False,False,True,False,True,False,False,18,3,12,1,9,4.888888888888889,2,0,1,0,0,0,0,0.09,0.5,0
3,3,2,False,False,False,True,False,False,False,True,False,18,2,12,1,40,5.275,3,0,0,1,0,0,0,0.325,0.71075,1
2,2,1,True,False,False,False,False,False,True,False,False,18,1,4,1,27,5.555555555555555,3,0,1,0,0,0,0,0.3440740740740741,0.5,1
2,2,2,True,False,False,False,False,True,False,False,False,18,4,12,1,37,5.864864864864865,3,0,0,0,0,0,0,0.3,0.83525,1
2,2,1,False,False,False,True,False,False,False,True,False,18,0,2,1,35,5.8,3,0,1,0,1,0,0,0.3857142857142857,0.5,1
0,1,0,True,False,False,False,False,False,False,True,False,18,5,7,0,6,5.666666666666667,2,0,0,0,0,0,0,0.06,0.5,1
2,3,1,True,False,False,False,False,False,True,False,False,18,4,4,1,34,5.029411764705882,3,0,1,0,0,0,0,0.38823529411764707,0.5,1
1,1,1,False,False,False,False,True,False,True,False,False,18,6,11,0,24,5.833333333333333,3,0,0,0,1,0,0,0.4066666666666666,0.625,0
1,0,0,False,True,False,False,False,False,False,False,True,18,6,12,0,20,4.55,2,0,1,0,0,0,0,0.2,0.5,0
0,1,1,False,False,True,False,False,False,True,False,False,18,3,3,1,8,4.875,2,0,1,0,0,0,0,0.08,0.5,0
0,1,1,True,False,False,False,False,True,False,False,False,18,1,4,1,4,6.25,1,0,0,0,0,0,0,0.04,0.5,0
1,2,1,True,False,False,False,False,False,True,False,False,18,0,6,1,27,5.111111111111111,2,0,0,0,0,0,0,0.30703703703703705,0.5,1
0,0,2,False,False,False,False,True,False,False,True,False,18,6,8,0,11,4.818181818181818,2,0,1,0,0,0,0,0.11,0.5,0
1,2,2,False,False,True,False,False,False,True,False,False,18,5,5,0,15,4.4,2,0,1,1,0,0,0,0.21666666666666667,0.5,0
1,2,0,False,False,False,False,True,False,False,False,True,18,6,7,0,16,5.4375,2,0,0,0,0,0,0,0.16,0.6366,0
0,1,0,False,False,False,True,False,False,False,False,True,18,1,12,1,4,5.0,1,0,0,0,0,0,0,0.04,0.5,0
2,3,2,False,False,True,False,False,False,True,False,False,18,1,1,1,6,5.833333333333333,2,0,1,0,0,0,0,0.06,0.5,1
3,2,1,False,False,False,False,True,False,True,False,False,18,0,1,1,46,5.304347826086956,4,0,1,0,1,0,0,0.34347826086956523,0.21889999999999998,1
0,0,1,False,False,False,True,False,False,True,False,False,18,3,10,1,10,4.8,2,0,0,0,0,0,0,0.30000000000000004,0.6591,0
1,1,0,False,False,False,True,False,True,False,False,False,18,5,3,0,20,5.3,2,0,1,0,0,0,0,0.2,0.70095,0
1,1,1,False,False,False,False,True,False,False,False,True,18,4,4,1,17,5.0,2,0,0,0,0,0,0,0.2288235294117647,0.76335,0
0,1,1,False,False,True,False,False,False,False,False,True,18,2,8,1,9,4.666666666666667,2,0,1,0,0,0,0,0.09,0.648,0
2,1,2,False,False,True,False,False,False,False,False,True,18,2,4,1,13,5.769230769230769,2,0,1,0,0,0,0,0.20692307692307693,0.5,0
3,1,1,False,False,True,False,False,True,False,False,False,18,2,8,1,12,4.333333333333333,2,0,0,0,0,0,0,0.12,0.70095,1
1,0,0,True,False,False,False,False,False,True,False,False,18,2,12,1,8,6.25,2,0,1,0,0,0,0,0.08,0.5,0
1,2,2,True,False,False,False,False,True,False,False,False,18,2,2,1,21,5.142857142857143,2,0,1,0,0,0,0,0.21,0.5,0
2,3,1,False,True,False,False,False,False,True,False,False,18,4,6,1,25,5.28,2,0,0,0,0,0,0,0.29,0.74695,1
3,2,2,False,False,False,False,True,False,False,False,True,18,3,2,1,50,5.34,4,0,1,1,1,0,0,0.33999999999999997,0.46995,1
2,2,1,False,True,False,False,False,False,True,False,False,18,4,6,1,33,5.151515151515151,3,0,1,0,1,0,0,0.45151515151515154,0.5,1
2,2,1,False,False,False,True,False,False,False,True,False,18,0,3,1,36,5.111111111111111,3,0,0,1,1,0,0,0.4111111111111111,0.48285,1
0,2,1,False,False,True,False,False,False,False,True,False,18,0,2,1,3,6.666666666666667,1,0,0,0,0,0,0,0.3633333333333333,0.5,0
0,2,1,False,False,True,False,False,False,False,True,False,18,3,5,1,3,6.333333333333333,1,0,0,0,0,0,0,0.03,0.5,1
1,1,0,False,False,False,True,False,False,True,False,False,18,2,12,1,31,5.258064516129032,3,0,1,0,0,0,0,0.33225806451612905,0.5,0
1,0,1,False,False,True,False,False,False,False,False,True,18,2,7,1,35,4.6,3,0,1,0,0,0,0,0.35714285714285715,0.81245,1
0,0,0,True,False,False,False,False,False,True,False,False,18,0,8,1,4,5.0,1,0,0,0,0,0,0,0.04,0.5,0
0,1,0,False,True,False,False,False,False,True,False,False,18,1,3,1,7,4.857142857142857,3,1,1,0,0,0,0,0.21285714285714286,0.5,0
3,1,2,False,False,False,False,True,False,True,False,False,18,0,5,1,37,4.621621621621622,3,0,1,1,1,0,0,0.3810810810810811,0.19815,1
1,2,1,False,True,False,False,False,False,True,False,False,18,0,11,1,16,4.3125,3,0,2,0,0,0,0,0.16,0.5,1
1,1,1,False,False,False,False,True,True,False,False,False,18,3,1,1,17,5.0588235294117645,3,0,1,0,0,0,0,0.17,0.5,0
1,1,2,False,False,True,False,False,False,False,True,False,18,5,8,0,4,6.0,2,0,1,0,0,0,0,0.04,0.5,1
1,1,0,False,False,False,False,True,False,True,False,False,18,6,11,0,5,6.0,2,0,1,0,0,0,0,0.05,0.5,0
0,0,1,False,False,False,False,True,False,True,False,False,18,4,3,1,11,5.636363636363637,2,0,1,0,0,0,0,0.11,0.5,0
3,2,2,False,False,False,False,True,False,True,False,False,18,6,7,0,35,4.571428571428571,3,0,0,0,1,0,0,0.3857142857142857,0.5,1
0,0,1,False,False,False,False,True,False,False,False,True,18,2,1,1,10,4.8,2,0,0,0,0,0,0,0.1,0.5,0
0,3,2,False,False,True,False,False,True,False,False,False,18,2,12,1,34,5.264705882352941,3,0,1,0,0,0,0,0.3588235294117647,0.5,0
0,1,0,False,False,True,False,False,False,True,False,False,18,4,12,1,13,5.230769230769231,2,0,1,0,0,0,0,0.13,0.5,0
0,1,1,False,False,False,False,True,False,False,False,True,18,0,5,1,15,4.733333333333333,2,0,1,0,0,0,0,0.15,0.6366,0
3,3,2,False,False,False,False,True,True,False,False,False,18,6,8,0,36,5.361111111111111,5,0,1,0,1,0,0,0.3833333333333333,0.6366,1
0,0,0,True,False,False,False,False,False,True,False,False,18,3,1,1,8,4.625,2,0,1,0,0,0,0,0.08,0.70095,0
0,1,0,False,False,True,False,False,False,True,False,False,18,6,12,0,4,6.25,1,0,0,0,0,0,0,0.04,0.5,0
1,1,1,False,False,True,False,False,True,False,False,False,18,0,3,1,41,5.121951219512195,3,0,1,1,0,0,0,0.32439024390243903,0.5,0
1,3,2,False,True,False,False,False,False,True,False,False,18,6,2,0,39,5.153846153846154,3,0,0,0,0,0,0,0.3,0.5,0
0,1,0,False,True,False,False,False,False,True,False,False,18,6,1,0,4,5.0,1,0,0,0,0,0,0,0.04,0.5,1
1,2,1,False,True,False,False,False,True,False,False,False,18,2,4,1,19,5.368421052631579,2,0,0,1,0,0,0,0.19,0.61315,0
1,1,2,False,False,False,False,True,False,True,False,False,18,2,8,1,40,5.25,3,0,0,0,0,0,0,0.3,0.9277500000000001,0
0,1,1,False,False,True,False,False,True,False,False,False,18,1,11,1,4,5.75,2,0,1,0,0,0,0,0.04,0.5,0
0,0,2,False,False,False,False,True,False,False,True,False,18,6,12,0,6,5.166666666666667,2,0,1,0,0,0,0,0.06,0.5,0
2,3,2,False,False,False,False,True,False,True,False,False,18,5,12,0,25,4.56,3,0,1,0,0,0,0,0.25,0.79295,1
1,2,1,False,False,False,True,False,False,True,False,False,18,2,5,1,15,4.2,2,0,1,0,0,0,0,0.21666666666666667,0.5,0
1,1,0,True,False,False,False,False,False,True,False,False,18,4,5,1,25,5.44,2,0,1,0,0,0,0,0.25,0.648,1
0,3,0,False,False,True,False,False,True,False,False,False,18,3,11,1,35,5.628571428571429,3,0,0,1,0,0,0,0.32857142857142857,0.7202,1
2,2,0,False,True,False,False,False,False,False,True,False,18,2,1,1,29,5.482758620689655,3,0,1,0,0,0,0,0.35896551724137926,0.5,0
0,1,0,False,False,True,False,False,False,True,False,False,18,1,9,1,18,4.944444444444445,2,0,1,0,0,0,0,0.18,0.5,1
2,1,0,False,False,False,True,False,False,False,True,False,18,1,8,1,19,4.631578947368421,2,0,0,0,0,0,0,0.19,0.70095,0
1,1,0,False,True,False,False,False,False,True,False,False,18,5,3,0,17,4.294117647058823,2,0,1,0,0,0,0,0.17,0.7859499999999999,1
1,1,1,False,False,False,False,True,True,False,False,False,18,1,9,1,16,4.875,2,0,1,0,0,0,0,0.16,0.5,1
2,3,1,False,False,False,True,False,True,False,False,False,18,1,1,1,33,4.96969696969697,4,0,0,0,1,0,0,0.3909090909090909,0.5386,1
3,2,2,False,False,False,True,False,False,False,False,True,18,1,8,1,20,4.75,2,0,1,0,0,0,0,0.25,0.5,1
2,2,2,True,False,False,False,False,False,True,False,False,18,3,12,1,17,5.117647058823529,2,0,1,0,0,0,0,0.17,0.5,0
1,0,0,False,False,True,False,False,True,False,False,False,18,4,2,1,10,3.7,2,0,0,0,0,0,0,0.1,0.5,1
0,0,0,False,True,False,False,False,False,True,False,False,18,5,2,0,5,5.2,1,0,0,0,0,0,0,0.25,0.70095,0
1,2,1,False,False,True,False,False,True,False,False,False,18,6,4,0,16,5.5,2,0,1,0,0,0,0,0.16,0.71075,1
0,0,0,False,False,True,False,False,True,False,False,False,18,1,5,1,19,4.368421052631579,2,0,1,0,0,0,0,0.19,0.70095,1
3,3,2,False,False,True,False,False,False,False,True,False,18,6,2,0,36,5.0,3,0,1,0,0,0,0,0.3555555555555555,0.5,1
1,0,0,True,False,False,False,False,False,False,False,True,18,6,10,0,12,4.666666666666667,2,0,1,0,0,0,0,0.12,0.70095,0
1,1,1,False,False,False,False,True,False,True,False,False,18,2,10,1,30,5.666666666666667,3,0,0,0,0,0,0,0.3333333333333333,0.67,1
0,1,0,False,False,True,False,False,False,True,False,False,18,6,2,0,9,5.111111111111111,2,0,1,0,0,0,0,0.09,0.5,0
2,2,1,False,False,False,False,True,True,False,False,False,18,1,11,1,40,5.775,3,0,0,0,0,0,0,0.325,0.91355,1
1,0,0,False,False,False,True,False,True,False,False,False,18,4,2,1,20,4.85,2,0,1,0,0,0,0,0.2,0.648,0
0,0,1,True,False,False,False,False,True,False,False,False,18,6,3,0,16,4.0,3,0,1,0,0,0,0,0.16,0.5,0
2,0,0,False,True,False,False,False,False,True,False,False,18,5,3,0,14,5.214285714285714,2,0,1,0,0,0,0,0.14,0.70095,0
1,2,0,False,False,False,False,True,False,True,False,False,18,2,6,1,38,5.368421052631579,4,0,1,1,1,0,0,0.3526315789473684,0.19815,0
2,3,2,True,False,False,False,False,False,False,False,True,18,1,3,1,23,5.304347826086956,3,0,1,0,0,0,0,0.2734782608695652,0.5,1
1,2,1,True,False,False,False,False,True,False,False,False,18,6,3,0,9,4.222222222222222,2,0,0,0,0,0,0,0.09,0.5,0
1,2,1,False,False,False,True,False,True,False,False,False,18,5,4,0,8,4.875,2,0,1,0,0,0,0,0.08,0.5,0
1,1,0,False,False,True,False,False,True,False,False,False,18,4,7,1,19,5.0,2,0,1,0,0,0,0,0.19,0.5,0
